Name,Field_API_Name__c,Test_Config__c,Field_Description__c,Field_Value__c,Picklist_Order__c,Value_Category__c
BehaviorInKennel_Excited,Behavior_in_Kennel__c,Behavior_in_Kennel,"Wanted out, barked.",Excited,4,1
BehaviorInKennel_Mildly_fearful,Behavior_in_Kennel__c,Behavior_in_Kennel,"Was timid, social/friendly or neutral when cage door closed. Reluctant to approach or come forward when door opened but interacted with tester.",Mildly fearful,3,1
BehaviorInKennel_Not_social,Behavior_in_Kennel__c,Behavior_in_Kennel,"Was not reactive or fearful, wasn’t avoidant.",Not social,2,1
BehaviorInKennel_Social,Behavior_in_Kennel__c,Behavior_in_Kennel,"Friendly, interacted with tester.",Social,1,1
BehaviorInKennel_Aggressive_in_cage_on,Behavior_in_Kennel__c,Behavior_in_Kennel,Growled or barked aggressively but switched to friendly behavior once door opened.,Aggressive in cage only,8,2
BehaviorInKennel_Hyperaroused,Behavior_in_Kennel__c,Behavior_in_Kennel,"Out of control, rambunctious and unruly.",Hyperaroused,6,2
BehaviorInKennel_Moderately_fearful,Behavior_in_Kennel__c,Behavior_in_Kennel,"Refused to move but looked at tester. May have needed to be carried. Body crouched and tense, eyes wide, ears back. May have trembled.",Moderately fearful,7,2
BehaviorInKennel_Stereotypic_behavior,Behavior_in_Kennel__c,Behavior_in_Kennel,Frenetic movement. Spun or paced inside cage. Appeared excited or fearful.,Stereotypic behavior,5,2
BehaviorInKennel_Extremely_fearful,Behavior_in_Kennel__c,Behavior_in_Kennel,Must be carried. Frozen/catatonic or panicked and attempted to escape/avoid tester.,Extremely fearful,9,3
BehaviorInKennel_Threatens,Behavior_in_Kennel__c,Behavior_in_Kennel,"Stiff/rigid. Backed away from tester, growled and/or showed teeth.",Threatens,10,3
BehaviorInKennel_Aggressive,Behavior_in_Kennel__c,Behavior_in_Kennel,Attempted to bite or bit. Tester might not have been able to remove dog without familiar staff person or catch pole. ,Aggressive,11,3
BehaviorOnLeash_Excited,Behavior_on_Leash__c,Behavior_on_Leash,"May have pulled on-leash but was not hard to handle. Playfully bounced, jumped up to greet tester and/or explored excitedly. May have stopped to sniff or eliminate. May have balked when leash tightened.",Excited,2,1
BehaviorOnLeash_Mildly_fearful,Behavior_on_Leash__c,Behavior_on_Leash,"Seemed slightly anxious (ears back, cautious movements, body low, tail down or tucked). May have yawned or licked lips. May have balked, walked hesitantly or both.",Mildly fearful,3,1
BehaviorOnLeash_Relaxed,Behavior_on_Leash__c,Behavior_on_Leash,"Did not appear afraid or anxious. May have stopped to sniff or eliminate. May have interacted with tester. Did not pull much on-leash. May have walked, balked or both. Did not become fearful when leash tightened.",Relaxed,1,1
BehaviorOnLeash_Frenetic_movement,Behavior_on_Leash__c,Behavior_on_Leash,"Disorganized, hyperactive behavior. May have whined or barked.",Frenetic movement,5,2
BehaviorOnLeash_Moderately_fearful,Behavior_on_Leash__c,Behavior_on_Leash,"Repeatedly balked or pulled to return to kennel. Body appeared tense, eyes wide, tail down/tucked. May have trembled or panted. May have needed to be carried.",Moderately fearful,6,2
BehaviorOnLeash_Ran_or_lunged,Behavior_on_Leash__c,Behavior_on_Leash,"Pulled hard on-leash, repeatedly jumped up on tester, played tug with leash and/or mouthed tester. May have raced toward other people to greet. Did not seem aggressive, only excited and/or playful.",Ran or lunged forward-hard to handle,4,2
BehaviorOnLeash_Panicked,Behavior_on_Leash__c,Behavior_on_Leash,Rolled around on ground in response to leash pressure or attempted to flee. May have screamed.,Panicked,8,3
BehaviorOnLeash_Showed_aggressive_beha,Behavior_on_Leash__c,Behavior_on_Leash,"Snarled, lunged, snapped or attempted to bite tester or other people. May have climbed leash (not playful).",Showed aggressive behavior,9,3
BehaviorOnLeash_Walks_or_balkseme,Behavior_on_Leash__c,Behavior_on_Leash,"Did not walk or crawled along ground, body tense and crouched. May have attempted to return to kennel or hide underneath things. May have sat or laid down and refused to move. Appeared very fearful (ears back, tail tucked/down, trembled, eyes wide).",Walked or balked-extremely fearful,7,3
BehaviorOnLeash_Too_feulbtest_no,Behavior_on_Leash__c,Behavior_on_Leash,Dog was already extremely fearful. May have been catatonic/shut down or panicked.,Too fearful-subtest not done,10,4
Fake_Dog_Greeted_Friendly,Fake_Dog__c,Fake_Dog,"Wagged, sniffed, licked, relaxed body. Might have played bow, bounce around and/or playfully mouthed dog.",Greeted-friendly,1,1
Fake_Dog_Greeted_submissive,Fake_Dog__c,Fake_Dog,"When in close proximity, assumed submissive but not fearful posture (head low, low tail wag, ears back, lick lips or nuzzle, lifted paw, submissive urinate).",Greeted-submissive,2,1
Fake_Dog_Nervous_Fear,Fake_Dog__c,Fake_Dog,"Head low, tail low/tucked, ears back. Might have sniffed but little interaction, Might not have approached.",Nervous/fearful,5,1
Fake_Dog_Neutral,Fake_Dog__c,Fake_Dog,"May or may not have approached to greet Showed relaxed, neutral body language.",Neutral,3,1
Fake_Dog_reeted_sexual_behavior,Fake_Dog__c,Fake_Dog,"Showed playful courtship behavior (play bow, ears pinned back paw sniff muzzle and genitalia). May have mounted and thrusted.",Greeted-sexual behavior,4,1
Fake_Dog_Defensive,Fake_Dog__c,Fake_Dog,"Friendly, neutral or fearful but when fake dog was ""rude,"" growled, showed teeth, Snapped or snarled but did not bite. Would have preferred to escape.",Defensive,6,2
Fake_Dog_Predatory_NA,Fake_Dog__c,Fake_Dog,"Showed eye or eye-stalk behavior (slow movements, rigid body, hard direct stare, lowered body, may have reacted to quick movements) but did not mount, showed teeth, growled or bit.",Predatory-not aggressive,7,2
Fake_Dog_Pushy_NA,Fake_Dog__c,Fake_Dog,"Showed confident, assertive posture (tail up, ears forward, may have had hackles up). May have jumped up on fake dog, chin or stand over or mount, but didn't show teeth, growl or try to bite.",Pushy-not aggressive,8,2
Fake_Dog_Charges_aggressive,Fake_Dog__c,Fake_Dog,"Rushed toward fake dog and then growled, showed teeth, snapped, Snarled, bit, bit and held and/or bit and shook.",Charges-aggressive,11,3
Fake_Dog_Neutral_then_Aggressive,Fake_Dog__c,Fake_Dog,"Neutral or fearful body language at first but bit, bit and held and/or bit and shaked when fake dog was ""rude.""","Neutral, nervous/fearful or friendly-then aggressive",10,3
Fake_Dog_Predatory_aggressive,Fake_Dog__c,Fake_Dog,"Showed eye or eye-stalk behavior (rigid body, hard direct stare, lowered body, slow movements). Approached and then bit, held and/or shook. May have been completely silent or whined/screamed excitedly before approaching.",Predatory-aggressive,12,3
Fake_Dog_Pushy_Aggressive,Fake_Dog__c,Fake_Dog,"Showed confident assertive posture (tail up, ears forward, may have hackles up). May have jumped up on fake dog, chin or stand over or mount. When in close proximity, showed teeth, growled, snarled or bit. May have attacked in response to ""rude"" behavior.",Pushy-aggressive,9,3
Fake_Dog_Extreme_Fear,Fake_Dog__c,Fake_Dog,Was too scared to pay attention to fake dog.,Extremely fearful,13,4
Fake_Dog_Investigated_not_fool,Fake_Dog__c,Fake_Dog,Sniffed and then lost interest. May have urinated on dog. Behaved as though it was an inanimate object.,Investigated-not fooled,14,4
Fake_Dog_Playful,Fake_Dog__c,Fake_Dog,"Treated dog like it was a toy. No greeting. May have mouthed, picked up and carried, tugged, shook and/or dissected Relaxed, loose body.",Playful,15,4
Opposite_Sex_P1_Friendly,Opposite_Sex_P1__c,Opposite_Sex_1,"Approached barrier, displayed playful or confident body language. Body relaxed.",Friendly,1,1
Opposite_Sex_P1_Nervous_fea_Fear,Opposite_Sex_P1__c,Opposite_Sex_1,"Did not approach or attempt to leave. Head low, tail low/tucked, ears back.",Nervous/fearful,4,1
Opposite_Sex_P1_Neutral,Opposite_Sex_P1__c,Opposite_Sex_1,"Neutral body posture. Not friendly, aggressive or fearful. Body relaxed. May have approached or just watched the helper dog.",Neutral,3,1
Opposite_Sex_P1_Submissive,Opposite_Sex_P1__c,Opposite_Sex_1,"Approached and assumed submissive but not fearful posture (head low, low tail wag, ears back, lick lips or nuzzle, lift paw, may have submissive urinated).",Submissive,2,1
Opposite_Sex_P1_Predatory,Opposite_Sex_P1__c,Opposite_Sex_1,"Approached, showing predatory, stalking behavior (slow movements, rigid body, hard direct stare. lowered body, may have reacted to quick movements). Tracked movement of helper dog. Exercised caution during following subtests.",Predatory,7,2
Opposite_Sex_P1_Tense_Assertive,Opposite_Sex_P1__c,Opposite_Sex_1,"Approached and displayed confident posture-ears up, tail up and stiff Might have barked at dog. Might have growled a little but did not escalate. Exercised caution during following subtests.",Tense/assertive,5,2
Opposite_Sex_P1_Very_Intense,Opposite_Sex_P1__c,Opposite_Sex_1,"Approached, very focused. Jumped, lunged, pawed, barked or whined. Exercised caution during following subtests.",Very intense/aroused,6,2
Opposite_Sex_P1_Became_Aggressive,Opposite_Sex_P1__c,Opposite_Sex_1,"When In close proximity, growled, showed teeth, snarled or snapped. DO NOT PROCEED WITH DOG INTERACTION TESTS.",Became aggressive,8,3
Opposite_Sex_P1_Extremely_fear,Opposite_Sex_P1__c,Opposite_Sex_1,Too anxious to pay attention to helper dog. [Re-evaluate],Extremely fearful,9,4
Opposite_Sex_P1_Nointerest_Inter,Opposite_Sex_P1__c,Opposite_Sex_1,Ignored helper dog. Not fearful. [Re-evaluate],No interest,10,4
Opposite_Sex_P2_Friendly,Opposite_Sex_P2__c,Opposite_Sex_2,Looked at or moved toward dog. Displayed playful or confident body language.,Friendly,1,1
Opposite_Sex_P2_Nervous_fea_Fear,Opposite_Sex_P2__c,Opposite_Sex_2,"Did not approach or attempted to leave. Head low, tail low/tucked, ears back.",Nervous/fearful,4,1
Opposite_Sex_P2_Neutral,Opposite_Sex_P2__c,Opposite_Sex_2,"Not friendly, submissive, aggressive, fearful. Neutral but showed interest in helper dog. May have approached to investigate or just watch dog.",Neutral,3,1
Opposite_Sex_P2_Submissive,Opposite_Sex_P2__c,Opposite_Sex_2,"Looked at or moved toward dog. Assumed submissive but not fearful posture (head low, low tail wag, ears back, licked lips or nuzzled, lifted paw, may have submissive urinated).",Submissive,2,1
Opposite_Sex_P2_Predatory,Opposite_Sex_P2__c,Opposite_Sex_2,"Approached, showing predatory, stalking behavior (slow movements, rigid body, hard direct stare. lowered body, may have reacted to quick movements). Tracked movement of helper dog. Exercised caution during following subtests.",Predatory,7,2
Opposite_Sex_P2_Tense_Assertive,Opposite_Sex_P2__c,Opposite_Sex_2,"When in close proximity, displayed confident posture-ears up. tail up and stiff. Might have barked at dog. Might have growled a little but did not escalate. Exercised caution during greet test.",Tense/assertive,5,2
Opposite_Sex_P2_Very_Intense,Opposite_Sex_P2__c,Opposite_Sex_2,"Approached, very excited. Jumped, lunged, pawed, barked or whined. Showed unruly behavior. Exercised caution during greet test.",Very intense/aroused,6,2
Opposite_Sex_P2_Became_Aggressive,Opposite_Sex_P2__c,Opposite_Sex_2,"Pulled or lunged toward helper dog and growled, showed teeth, snarled or snapped. DO NOT PROCEED WITH GREET TEST.",Became aggressive,8,3
Opposite_Sex_P2_Extremely_fear,Opposite_Sex_P2__c,Opposite_Sex_2,Too anxious to pay attention to helper dog. [Re-evaluate],Extremely fearful,9,4
Opposite_Sex_P2_No_interest,Opposite_Sex_P2__c,Opposite_Sex_2,Ignored helper dog. Not fearful. [Re-evaluate],No interest,10,4
Opposite_Sex_P3_Defensive,Opposite_Sex_P3__c,Opposite_Sex_3,"Friendly or neutral but growled or snapped appropriately in response to helper dog's pushy, inappropriate, rambunctious of rude behavior.",Defensive,7,1
Opposite_Sex_P3_Greeted_Friendly,Opposite_Sex_P3__c,Opposite_Sex_3,"Wagged, sniffed, licked, relaxed body. Might have play bowed, bounced around and/or playfully mouthed dog.",Greeted-friendly,1,1
Opposite_Sex_P3_Greeted_neutral,Opposite_Sex_P3__c,Opposite_Sex_3,"Relaxed, neutral body language. May have sniffed. Permitted helper dog to sniff. May have moved away.",Greeted-neutral,3,1
Opposite_Sex_P3_Greeted_sexual,Opposite_Sex_P3__c,Opposite_Sex_3,"Playful, flirty courtship (play bow, ears pinned back paw sniff muzzle and genitalia). May have mounted and thrusted.",Greeted-sexual behavior,4,1
Opposite_Sex_P3_Greeted_Submissive,Opposite_Sex_P3__c,Opposite_Sex_3,"Assumed submissive but not fearful posture (head low, low tail wag, ears back, licked lips, nuzzled, lifted paw, submissively urinated).",Greeted-submissive,2,1
Opposite_Sex_P3_Nervous_fearful,Opposite_Sex_P3__c,Opposite_Sex_3,"Head low, tail low/tucked, ears back, may have sniffed but little or no interaction.",Nervous/fearful,6,1
Opposite_Sex_P3_Pushy_relaxed,Opposite_Sex_P3__c,Opposite_Sex_3,"Confident, assertive postures (tail up ears forward, may have had hackles up). Body stiff. When in close proximity, relaxed and interacted.",Pushy-relaxed,5,1
